Depth_BML,Temperature,Age,Beta
0,40.0,0.0,6.6
100,45.99972202002565,0.75,6.600132940977698
200,51.9994440400513,1.5,6.600332714909705
300,57.99916606007695,2.25,6.60063009494552
400,63.9988880801026,3.0,6.6010687425715595
500,69.99861010012825,3.75,6.601710071838337
600,75.9983321201539,4.5,6.602639744877859
700,81.99805414017955,5.25,6.603976272434869
800,87.9977761602052,6.0,6.605882304540282
900,93.99749818023083,6.75,6.608579323305758
1000,99.9972202002565,7.5,6.612366588094611
1100,105.99694222028216,8.25,6.617645323627654
1200,111.9966642403078,9.0,6.624949265467302
1300,117.99638626033344,9.75,6.634982751623895
1400,123.9961082803591,10.5,6.648667517350469
1500,129.99583030038474,11.25,6.667199120640751
1600,135.9955523204104,12.0,6.69211335433206
1700,141.99527434043603,12.75,6.725361869379239
1800,147.9949963604617,13.5,6.769394228606981
1900,153.99471838048737,14.25,6.827240303148906
2000,159.994440400513,15.0,6.902581780061579
2100,165.99416242053866,15.75,6.999793995007785
2200,171.9938844405643,16.5,7.12392891804115
2300,177.99360646058994,17.25,7.280597059377216
2400,183.9933284806156,18.0,7.47569184498793
2500,189.9930505006413,18.75,7.714888788607718
2600,195.9927725206669,19.5,8.002852021907291
2700,201.99249454069255,20.25,8.34210673373957
2800,207.9922165607182,21.0,8.731607597544048
2900,213.99193858074383,21.75,9.16517001007875
3000,219.9916606007695,22.5,9.630136781949616
3100,225.99138262079515,23.25,10.10688689056183
3200,231.9911046408208,24.0,10.5699346351323
3300,237.99082666084644,24.75,10.99120904949124
3400,243.9905486808721,25.5,11.345430400831123
3500,249.99027070089775,26.25,11.616316222368
3600,255.9899927209234,27.0,11.801163866673404
3700,261.989714740949,27.75,11.911203627589394
3800,267.98943676097474,28.5,11.966849704029883
3900,273.98915878100036,29.25,11.990018554322177
4000,279.988880801026,30.0,11.997676389247957
4100,285.98860282105164,30.75,11.999602034055153
4200,291.9883248410773,31.5,11.99995268463519
4300,297.988046861103,32.25,11.999996351140254
4400,303.9877688811286,33.0,11.999999831351651
4500,309.9874909011543,33.75,11.99999999573812
4600,315.9872129211799,34.5,11.999999999947056
4700,321.98693494120556,35.25,11.999999999999714
4800,327.98665696123123,36.0,11.999999999999998
4900,333.98637898125685,36.75,12.0
5000,339.9861010012825,37.5,12.0
5100,345.98582302130814,38.25,12.0
5200,351.9855450413338,39.0,12.0
5300,357.9852670613595,39.75,12.0
5400,363.9849890813851,40.5,12.0
5500,369.9847111014108,41.25,12.0
5600,375.9844331214364,42.0,12.0
5700,381.98415514146205,42.75,12.0
5800,387.9838771614877,43.5,12.0
5900,393.98359918151334,44.25,12.0
6000,399.983321201539,45.0,12.0
6100,405.9830432215646,45.75,12.0
6200,411.9827652415903,46.5,12.0
