Depth_BML,Temperature,Age,Beta
0,40.0,0.0,6.6
100,44.59312,0.75,6.600120664238531
200,49.18624,1.5,6.600285905022757
300,53.77936,2.25,6.600510918572644
400,58.37248,3.0,6.600815649418234
500,62.9656,3.75,6.6012261382367345
600,67.55872,4.5,6.601776212745419
700,72.15184,5.25,6.60250959818033
800,76.74496,6.0,6.603482538070435
900,81.33807999999999,6.75,6.604767031961742
1000,85.9312,7.5,6.606454814333227
1100,90.52432,8.25,6.608662217839429
1200,95.11744,9.0,6.611536083544862
1300,99.71056,9.75,6.61526089981262
1400,104.30368000000001,10.5,6.620067368061173
1500,108.8968,11.25,6.6262426047180165
1600,113.48992000000001,12.0,6.634142189848172
1700,118.08304000000001,12.75,6.644204257439998
1800,122.67616,13.5,6.656965780565487
1900,127.26928000000001,14.25,6.673081123036378
2000,131.8624,15.0,6.693342789091636
2100,136.45552,15.75,6.71870407907764
2200,141.04864,16.5,6.75030301959506
2300,145.64176000000003,17.25,6.789486440862845
2400,150.23488,18.0,6.837832374851842
2500,154.828,18.75,6.897167994760279
2600,159.42112,19.5,6.969579065179309
2700,164.01424000000003,20.25,7.057405301417464
2800,168.60736000000003,21.0,7.163214177293895
2900,173.20048,21.75,7.289743704517763
3000,177.7936,22.5,7.439802832908507
3100,182.38672,23.25,7.6161169453320845
3200,186.97984000000002,24.0,7.821106354325042
3300,191.57296000000002,24.75,8.05658908388296
3400,196.16608000000002,25.5,8.323407273558413
3500,200.75920000000002,26.25,8.620991160522454
3600,205.35232,27.0,8.946897186459683
3700,209.94544000000002,27.75,9.296387072683492
3800,214.53856000000002,28.5,9.662148965098377
3900,219.13168000000002,29.25,10.034290686905816
4000,223.72480000000002,30.0,10.400742684017462
4100,228.31792000000002,30.75,10.748173203632932
4200,232.91104,31.5,11.063421496901244
4300,237.50416,32.25,11.335293695983173
4400,242.09728,33.0,11.556372551274244
4500,246.6904,33.75,11.724343968505224
4600,251.28352000000004,34.5,11.842347211817703
4700,255.87664,35.25,11.918091052423312
4800,260.46976,36.0,11.961914230793766
4900,265.06288000000006,36.75,11.984418914139273
5000,269.656,37.5,11.994499231260992
5100,274.24912000000006,38.25,11.998360581532415
5200,278.84224,39.0,11.999597676454874
5300,283.43536000000006,39.75,11.999920961494654
5400,288.02848000000006,40.5,11.999987959206676
5500,292.6216,41.25,11.999998627734424
5600,297.21472000000006,42.0,11.999999887631777
5700,301.80784,42.75,11.999999993682371
5800,306.40096,43.5,11.999999999768235
5900,310.99408000000005,44.25,11.99999999999476
6000,315.5872,45.0,11.99999999999993
6100,320.18032000000005,45.75,11.999999999999998
6200,324.77344,46.5,12.0
6300,329.36656000000005,47.25,12.0
6400,333.95968000000005,48.0,12.0
6500,338.5528,48.75,12.0
6600,343.14592000000005,49.5,12.0
6700,347.73904,50.25,12.0
6800,352.33216000000004,51.0,12.0
6900,356.92528000000004,51.75,12.0
7000,361.51840000000004,52.5,12.0
7100,366.11152000000004,53.25,12.0
7200,370.70464,54.0,12.0
7300,375.29776000000004,54.75,12.0
7400,379.89088000000004,55.5,12.0
7500,384.48400000000004,56.25,12.0
7600,389.07712000000004,57.0,12.0
7700,393.67024000000004,57.75,12.0
7800,398.26336000000003,58.5,12.0
7900,402.85648000000003,59.25,12.0
